<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GC,I,20250108,015500,2665.3,2665.3,2664.4,2664.7,85,0
GC,I,20250108,020000,2664.6,2664.9,2664.0,2664.5,86,0
GC,I,20250108,020500,2664.7,2664.9,2662.1,2662.8,564,0
GC,I,20250108,021000,2662.8,2663.8,2662.3,2663.3,447,0
GC,I,20250108,021500,2663.3,2663.7,2662.5,2662.8,194,0
GC,I,20250108,022000,2662.8,2663.2,2661.8,2662.1,194,0
GC,I,20250108,022500,2662.1,2662.6,2661.6,2662.2,185,0
GC,I,20250108,023000,2662.1,2663.3,2661.9,2662.2,183,0
GC,I,20250108,023500,2662.1,2663.0,2661.7,2662.6,148,0
GC,I,20250108,024000,2662.6,2662.9,2661.6,2662.5,170,0
GC,I,20250108,024500,2662.5,2664.1,2660.7,2662.8,837,0
GC,I,20250108,025000,2663.0,2663.0,2661.7,2661.8,104,0
GC,I,20250108,025500,2661.9,2662.9,2661.7,2662.2,124,0
GC,I,20250108,030000,2662.4,2663.3,2662.4,2662.9,77,0
GC,I,20250108,030500,2662.9,2662.9,2661.3,2662.3,207,0
GC,I,20250108,031000,2662.3,2662.8,2661.9,2662.0,70,0
GC,I,20250108,031500,2662.0,2662.9,2661.5,2662.6,156,0
GC,I,20250108,032000,2662.5,2662.6,2661.9,2661.9,131,0
GC,I,20250108,032500,2662.0,2662.1,2661.6,2661.7,76,0
GC,I,20250108,033000,2661.5,2661.7,2661.2,2661.3,55,0
GC,I,20250108,033500,2661.2,2661.2,2659.4,2660.1,410,0
GC,I,20250108,034000,2660.1,2661.5,2660.0,2660.4,232,0
GC,I,20250108,034500,2660.4,2662.2,2660.3,2662.1,158,0
GC,I,20250108,035000,2662.0,2663.1,2662.0,2662.8,134,0
GC,I,20250108,035500,2662.8,2664.3,2662.6,2663.9,167,0
GC,I,20250108,040000,2663.7,2663.7,2662.9,2662.9,109,0
GC,I,20250108,040500,2662.9,2662.9,2662.2,2662.4,100,0
GC,I,20250108,041000,2662.3,2663.0,2662.2,2662.4,89,0
GC,I,20250108,041500,2662.4,2662.4,2661.0,2661.3,122,0
GC,I,20250108,042000,2661.3,2661.9,2660.8,2661.7,89,0
GC,I,20250108,042500,2661.6,2661.7,2660.7,2661.5,99,0
GC,I,20250108,043000,2661.4,2661.7,2660.4,2660.5,130,0
GC,I,20250108,043500,2660.7,2661.5,2660.4,2660.4,136,0
GC,I,20250108,044000,2660.3,2660.6,2660.0,2660.2,84,0
GC,I,20250108,044500,2660.2,2660.2,2659.3,2659.9,125,0
GC,I,20250108,045000,2660.0,2660.8,2659.9,2660.4,123,0
GC,I,20250108,045500,2660.3,2660.6,2660.1,2660.3,43,0
GC,I,20250108,050000,2660.3,2660.7,2660.1,2660.1,70,0
GC,I,20250108,050500,2660.0,2660.7,2659.9,2660.5,87,0
GC,I,20250108,051000,2660.4,2661.2,2660.4,2661.0,88,0
GC,I,20250108,051500,2661.1,2662.0,2661.1,2661.5,119,0
GC,I,20250108,052000,2661.6,2661.6,2660.7,2660.7,126,0
GC,I,20250108,052500,2660.7,2660.9,2660.3,2660.4,90,0
GC,I,20250108,053000,2660.4,2661.0,2660.4,2661.0,50,0
GC,I,20250108,053500,2661.1,2661.1,2660.8,2660.8,39,0
GC,I,20250108,054000,2660.7,2660.7,2660.0,2660.3,70,0
GC,I,20250108,054500,2660.1,2660.2,2659.2,2659.2,87,0
GC,I,20250108,055000,2659.2,2659.7,2659.2,2659.5,71,0
GC,I,20250108,055500,2659.4,2659.4,2658.4,2658.8,270,0
GC,I,20250108,060000,2658.8,2660.0,2658.7,2660.0,112,0
GC,I,20250108,060500,2660.0,2660.4,2659.8,2660.0,54,0
GC,I,20250108,061000,2659.9,2660.4,2659.7,2660.1,65,0
GC,I,20250108,061500,2660.2,2660.4,2660.0,2660.3,42,0
GC,I,20250108,062000,2660.2,2661.3,2660.0,2661.3,146,0
GC,I,20250108,062500,2661.1,2662.3,2661.0,2662.3,272,0
GC,I,20250108,063000,2662.1,2662.8,2661.9,2662.0,227,0
GC,I,20250108,063500,2662.1,2663.6,2662.1,2662.9,326,0
GC,I,20250108,064000,2662.8,2663.4,2662.0,2662.9,227,0
GC,I,20250108,064500,2663.0,2663.4,2662.6,2662.9,139,0
GC,I,20250108,065000,2663.0,2664.2,2662.7,2663.3,228,0
GC,I,20250108,065500,2663.3,2664.4,2663.3,2663.9,125,0
GC,I,20250108,070000,2663.8,2664.7,2663.7,2664.0,277,0
GC,I,20250108,070500,2664.0,2664.2,2663.1,2663.8,318,0
GC,I,20250108,071000,2663.8,2664.0,2663.2,2663.7,128,0
GC,I,20250108,071500,2663.5,2665.4,2663.5,2665.1,317,0
GC,I,20250108,072000,2665.1,2665.7,2664.6,2665.4,208,0
GC,I,20250108,072500,2665.5,2665.8,2665.2,2665.5,142,0
GC,I,20250108,073000,2666.5,2666.6,2665.5,2665.8,111,0
GC,I,20250108,073500,2665.8,2666.0,2664.3,2664.7,312,0
GC,I,20250108,074000,2664.6,2665.6,2664.3,2665.6,174,0
GC,I,20250108,074500,2665.4,2666.4,2665.4,2666.0,120,0
GC,I,20250108,075000,2666.1,2666.6,2665.6,2666.1,160,0
GC,I,20250108,075500,2666.0,2667.2,2666.0,2666.5,570,0
GC,I,20250108,080000,2666.4,2666.5,2665.8,2666.0,234,0
GC,I,20250108,080500,2666.1,2666.5,2665.7,2666.3,167,0
GC,I,20250108,081000,2666.3,2667.7,2666.1,2667.6,319,0
GC,I,20250108,081500,2667.7,2668.5,2666.9,2667.6,349,0
GC,I,20250108,082000,2667.7,2668.1,2666.7,2666.8,166,0
GC,I,20250108,082500,2666.8,2667.4,2666.3,2667.0,212,0
GC,I,20250108,083000,2666.8,2666.9,2665.9,2666.7,166,0
GC,I,20250108,083500,2666.7,2667.0,2666.0,2666.9,127,0
GC,I,20250108,084000,2666.8,2667.3,2666.3,2667.1,175,0
GC,I,20250108,084500,2667.0,2667.1,2665.5,2665.6,143,0
GC,I,20250108,085000,2665.6,2666.2,2665.4,2665.9,159,0
GC,I,20250108,085500,2666.0,2666.1,2665.5,2665.7,101,0
GC,I,20250108,090000,2665.7,2666.7,2665.7,2666.4,109,0
GC,I,20250108,090500,2666.4,2666.9,2664.8,2665.2,422,0
GC,I,20250108,091000,2665.1,2665.6,2664.0,2664.3,446,0
GC,I,20250108,091500,2664.3,2665.2,2664.2,2664.8,196,0
GC,I,20250108,092000,2664.5,2665.5,2664.1,2665.3,186,0
GC,I,20250108,092500,2665.4,2666.2,2664.2,2664.8,303,0
GC,I,20250108,093000,2664.9,2665.0,2662.9,2663.7,388,0
GC,I,20250108,093500,2663.6,2665.6,2663.2,2664.7,224,0
GC,I,20250108,094000,2664.6,2667.2,2664.4,2667.0,275,0
GC,I,20250108,094500,2666.9,2667.5,2666.4,2666.4,280,0
GC,I,20250108,095000,2666.3,2666.5,2664.8,2664.8,232,0
GC,I,20250108,095500,2664.7,2665.6,2664.6,2664.7,164,0
GC,I,20250108,100000,2664.7,2665.9,2664.5,2665.6,197,0
GC,I,20250108,100500,2665.6,2666.8,2665.5,2666.4,204,0
GC,I,20250108,101000,2666.5,2668.0,2666.4,2667.3,336,0
GC,I,20250108,101500,2667.2,2669.1,2667.0,2667.6,513,0
GC,I,20250108,102000,2667.5,2668.2,2667.1,2667.3,218,0
GC,I,20250108,102500,2667.3,2667.4,2666.7,2667.0,152,0
GC,I,20250108,103000,2667.1,2667.7,2666.8,2667.7,106,0
GC,I,20250108,103500,2667.7,2668.9,2667.6,2667.8,305,0
GC,I,20250108,104000,2668.0,2668.3,2667.3,2667.4,259,0
GC,I,20250108,104500,2667.3,2668.3,2667.1,2668.0,210,0
GC,I,20250108,105000,2668.2,2668.2,2666.3,2666.5,224,0
GC,I,20250108,105500,2666.5,2667.4,2666.3,2667.3,148,0
GC,I,20250108,110000,2667.3,2667.8,2666.6,2667.5,101,0
GC,I,20250108,110500,2667.4,2668.2,2667.3,2667.4,130,0
GC,I,20250108,111000,2667.3,2667.7,2666.5,2666.7,169,0
GC,I,20250108,111500,2666.6,2668.0,2666.5,2667.5,804,0
GC,I,20250108,112000,2667.5,2667.8,2666.5,2667.1,227,0
GC,I,20250108,112500,2667.2,2667.9,2667.0,2667.8,248,0
GC,I,20250108,113000,2667.7,2668.6,2667.5,2668.5,282,0
GC,I,20250108,113500,2668.5,2668.7,2667.4,2668.6,883,0
GC,I,20250108,114000,2668.8,2669.3,2667.8,2668.4,568,0
GC,I,20250108,114500,2668.3,2669.2,2667.6,2668.1,1194,0
GC,I,20250108,115000,2668.2,2668.6,2667.1,2667.6,1182,0
GC,I,20250108,115500,2667.5,2668.0,2666.9,2667.0,177,0
GC,I,20250108,120000,2667.1,2667.6,2666.6,2666.6,165,0
GC,I,20250108,120500,2666.5,2666.7,2665.0,2665.2,293,0
GC,I,20250108,121000,2665.2,2665.9,2664.7,2665.7,299,0
GC,I,20250108,121500,2665.8,2665.8,2664.0,2664.7,194,0
GC,I,20250108,122000,2664.7,2665.4,2664.4,2665.1,198,0
GC,I,20250108,122500,2664.9,2665.3,2664.3,2664.3,178,0
