fecha,vola
2014-02-28,0.06305238445958383
2014-03-28,0.027000065415058616
2014-04-28,0.045702065742190046
2014-05-28,0.02786108364269091
2014-06-28,0.03728371326558655
2014-07-28,0.022903393342897926
2014-08-28,0.047239051229013285
2014-09-28,0.02061178278274234
2014-10-28,0.09838739797655793
2014-11-28,0.07272840260587676
2014-12-28,0.05787910126941642
2015-01-28,0.053029998189244365
2015-02-28,0.06548033722045532
2015-03-28,0.03917261936862948
2015-04-28,0.03666096308970901
2015-05-28,0.03229799848157344
2015-06-28,0.028960398428677703
2015-07-28,0.043443801919746505
2015-08-28,0.07406806062235827
2015-09-28,0.08948532680596255
2015-10-28,0.11102563691630452
2015-11-28,0.04807887530392829
2015-12-28,0.05569268434624686
2016-01-28,0.14857997340381512
2016-02-28,0.07574167173084367
